2025-05-22T22:26:02.233102 - {'timestamp': '2025-05-21 22:30:00', 'username': 'joao', 'ip_address': '192.168.0.10', 'port': '22', 'status': 'failed'}
2025-05-22T22:26:02.243627 - {'timestamp': '2025-05-21 06:05:00', 'username': 'lorena', 'ip_address': '192.168.0.45', 'port': '53', 'status': 'success'}
2025-05-22T22:26:02.244630 - {'timestamp': '2025-05-21 19:10:00', 'username': 'thiago', 'ip_address': '192.168.0.48', 'port': '3389', 'status': 'failed'}
2025-05-22T22:26:02.245629 - {'timestamp': '2025-05-21 03:30:00', 'username': 'livia', 'ip_address': '192.168.0.49', 'port': '80', 'status': 'success'}
2025-05-22T22:26:02.245629 - {'timestamp': '2025-05-21 22:10:00', 'username': 'elisa', 'ip_address': '192.168.0.51', 'port': '8080', 'status': 'success'}
2025-05-22T22:26:02.245629 - {'timestamp': '2025-05-21 07:30:00', 'username': 'matheus', 'ip_address': '192.168.0.52', 'port': '53', 'status': 'failed'}
2025-05-22T22:26:02.246627 - {'timestamp': '2025-05-21 00:15:00', 'username': 'vinicius', 'ip_address': '192.168.0.54', 'port': '443', 'status': 'failed'}
2025-05-22T22:26:02.247627 - {'timestamp': '2025-05-21 18:35:00', 'username': 'mariana', 'ip_address': '192.168.0.57', 'port': '21', 'status': 'success'}
2025-05-22T22:26:02.247627 - {'timestamp': '2025-05-21 02:45:00', 'username': 'lorenzo', 'ip_address': '192.168.0.58', 'port': '8080', 'status': 'failed'}
2025-05-22T22:26:02.248627 - {'timestamp': '2025-05-21 21:30:00', 'username': 'bernardo', 'ip_address': '192.168.0.60', 'port': '22', 'status': 'failed'}
2025-05-22T22:29:24.557437 - {'timestamp': '2025-05-21 22:30:00', 'username': 'joao', 'ip_address': '192.168.0.10', 'port': '22', 'status': 'failed'}
2025-05-22T22:29:24.558438 - {'timestamp': '2025-05-21 03:00:00', 'username': 'ana', 'ip_address': '192.168.0.14', 'port': '3389', 'status': 'success'}
2025-05-22T22:29:24.559437 - {'timestamp': '2025-05-21 18:10:00', 'username': 'fernando', 'ip_address': '192.168.0.17', 'port': '53', 'status': 'success'}
2025-05-22T22:29:24.559437 - {'timestamp': '2025-05-21 01:30:00', 'username': 'patricia', 'ip_address': '192.168.0.18', 'port': '22', 'status': 'success'}
2025-05-22T22:29:24.560438 - {'timestamp': '2025-05-21 20:05:00', 'username': 'roberto', 'ip_address': '192.168.0.19', 'port': '443', 'status': 'failed'}
2025-05-22T22:29:24.560438 - {'timestamp': '2025-05-21 05:40:00', 'username': 'amanda', 'ip_address': '192.168.0.20', 'port': '3389', 'status': 'failed'}
2025-05-22T22:29:24.561437 - {'timestamp': '2025-05-21 19:50:00', 'username': 'marcelo', 'ip_address': '192.168.0.23', 'port': '8080', 'status': 'success'}
2025-05-22T22:29:24.561437 - {'timestamp': '2025-05-21 02:15:00', 'username': 'bruna', 'ip_address': '192.168.0.24', 'port': '53', 'status': 'failed'}
2025-05-22T22:29:24.562437 - {'timestamp': '2025-05-21 07:45:00', 'username': 'isabela', 'ip_address': '192.168.0.26', 'port': '443', 'status': 'success'}
2025-05-22T22:29:24.562437 - {'timestamp': '2025-05-21 00:55:00', 'username': 'beatriz', 'ip_address': '192.168.0.28', 'port': '80', 'status': 'failed'}
2025-05-22T22:29:24.563438 - {'timestamp': '2025-05-21 23:40:00', 'username': 'vinicius', 'ip_address': '192.168.0.29', 'port': '21', 'status': 'success'}
2025-05-22T22:29:24.563438 - {'timestamp': '2025-05-21 06:30:00', 'username': 'laura', 'ip_address': '192.168.0.30', 'port': '8080', 'status': 'failed'}
2025-05-22T22:29:24.564438 - {'timestamp': '2025-05-21 19:30:00', 'username': 'mateus', 'ip_address': '192.168.0.33', 'port': '443', 'status': 'success'}
2025-05-22T22:29:24.564438 - {'timestamp': '2025-05-21 04:45:00', 'username': 'helena', 'ip_address': '192.168.0.34', 'port': '3389', 'status': 'failed'}
2025-05-22T22:29:24.565442 - {'timestamp': '2025-05-21 21:55:00', 'username': 'alice', 'ip_address': '192.168.0.36', 'port': '21', 'status': 'failed'}
2025-05-22T22:29:24.565442 - {'timestamp': '2025-05-21 07:00:00', 'username': 'miguel', 'ip_address': '192.168.0.37', 'port': '8080', 'status': 'success'}
2025-05-22T22:29:24.566437 - {'timestamp': '2025-05-21 00:30:00', 'username': 'arthur', 'ip_address': '192.168.0.39', 'port': '22', 'status': 'success'}
2025-05-22T22:29:24.567438 - {'timestamp': '2025-05-21 01:10:00', 'username': 'benjamin', 'ip_address': '192.168.0.43', 'port': '21', 'status': 'success'}
2025-05-22T22:29:24.567438 - {'timestamp': '2025-05-21 20:35:00', 'username': 'emanuel', 'ip_address': '192.168.0.44', 'port': '8080', 'status': 'failed'}
2025-05-22T22:29:24.567438 - {'timestamp': '2025-05-21 06:05:00', 'username': 'lorena', 'ip_address': '192.168.0.45', 'port': '53', 'status': 'success'}
2025-05-22T22:29:24.568438 - {'timestamp': '2025-05-21 19:10:00', 'username': 'thiago', 'ip_address': '192.168.0.48', 'port': '3389', 'status': 'failed'}
2025-05-22T22:29:24.569438 - {'timestamp': '2025-05-21 03:30:00', 'username': 'livia', 'ip_address': '192.168.0.49', 'port': '80', 'status': 'success'}
2025-05-22T22:29:24.569438 - {'timestamp': '2025-05-21 22:10:00', 'username': 'elisa', 'ip_address': '192.168.0.51', 'port': '8080', 'status': 'success'}
2025-05-22T22:29:24.570438 - {'timestamp': '2025-05-21 07:30:00', 'username': 'matheus', 'ip_address': '192.168.0.52', 'port': '53', 'status': 'failed'}
2025-05-22T22:29:24.570438 - {'timestamp': '2025-05-21 00:15:00', 'username': 'vinicius', 'ip_address': '192.168.0.54', 'port': '443', 'status': 'failed'}
2025-05-22T22:29:24.571438 - {'timestamp': '2025-05-21 18:35:00', 'username': 'mariana', 'ip_address': '192.168.0.57', 'port': '21', 'status': 'success'}
2025-05-22T22:29:24.571438 - {'timestamp': '2025-05-21 02:45:00', 'username': 'lorenzo', 'ip_address': '192.168.0.58', 'port': '8080', 'status': 'failed'}
2025-05-22T22:29:24.572438 - {'timestamp': '2025-05-21 21:30:00', 'username': 'bernardo', 'ip_address': '192.168.0.60', 'port': '22', 'status': 'failed'}
2025-05-22T22:29:31.536967 - {'timestamp': '2025-05-21 22:30:00', 'username': 'joao', 'ip_address': '192.168.0.10', 'port': '22', 'status': 'failed'}
2025-05-22T22:29:31.536967 - {'timestamp': '2025-05-21 03:00:00', 'username': 'ana', 'ip_address': '192.168.0.14', 'port': '3389', 'status': 'success'}
2025-05-22T22:29:31.537971 - {'timestamp': '2025-05-21 18:10:00', 'username': 'fernando', 'ip_address': '192.168.0.17', 'port': '53', 'status': 'success'}
2025-05-22T22:29:31.538969 - {'timestamp': '2025-05-21 01:30:00', 'username': 'patricia', 'ip_address': '192.168.0.18', 'port': '22', 'status': 'success'}
2025-05-22T22:29:31.538969 - {'timestamp': '2025-05-21 20:05:00', 'username': 'roberto', 'ip_address': '192.168.0.19', 'port': '443', 'status': 'failed'}
2025-05-22T22:29:31.539969 - {'timestamp': '2025-05-21 05:40:00', 'username': 'amanda', 'ip_address': '192.168.0.20', 'port': '3389', 'status': 'failed'}
2025-05-22T22:29:31.539969 - {'timestamp': '2025-05-21 19:50:00', 'username': 'marcelo', 'ip_address': '192.168.0.23', 'port': '8080', 'status': 'success'}
2025-05-22T22:29:31.540969 - {'timestamp': '2025-05-21 02:15:00', 'username': 'bruna', 'ip_address': '192.168.0.24', 'port': '53', 'status': 'failed'}
2025-05-22T22:29:31.540969 - {'timestamp': '2025-05-21 07:45:00', 'username': 'isabela', 'ip_address': '192.168.0.26', 'port': '443', 'status': 'success'}
2025-05-22T22:29:31.541969 - {'timestamp': '2025-05-21 00:55:00', 'username': 'beatriz', 'ip_address': '192.168.0.28', 'port': '80', 'status': 'failed'}
2025-05-22T22:29:31.541969 - {'timestamp': '2025-05-21 23:40:00', 'username': 'vinicius', 'ip_address': '192.168.0.29', 'port': '21', 'status': 'success'}
2025-05-22T22:29:31.541969 - {'timestamp': '2025-05-21 06:30:00', 'username': 'laura', 'ip_address': '192.168.0.30', 'port': '8080', 'status': 'failed'}
2025-05-22T22:29:31.542970 - {'timestamp': '2025-05-21 19:30:00', 'username': 'mateus', 'ip_address': '192.168.0.33', 'port': '443', 'status': 'success'}
2025-05-22T22:29:31.543970 - {'timestamp': '2025-05-21 04:45:00', 'username': 'helena', 'ip_address': '192.168.0.34', 'port': '3389', 'status': 'failed'}
2025-05-22T22:29:31.543970 - {'timestamp': '2025-05-21 21:55:00', 'username': 'alice', 'ip_address': '192.168.0.36', 'port': '21', 'status': 'failed'}
2025-05-22T22:29:31.544969 - {'timestamp': '2025-05-21 07:00:00', 'username': 'miguel', 'ip_address': '192.168.0.37', 'port': '8080', 'status': 'success'}
2025-05-22T22:29:31.544969 - {'timestamp': '2025-05-21 00:30:00', 'username': 'arthur', 'ip_address': '192.168.0.39', 'port': '22', 'status': 'success'}
2025-05-22T22:29:31.545972 - {'timestamp': '2025-05-21 01:10:00', 'username': 'benjamin', 'ip_address': '192.168.0.43', 'port': '21', 'status': 'success'}
2025-05-22T22:29:31.545972 - {'timestamp': '2025-05-21 20:35:00', 'username': 'emanuel', 'ip_address': '192.168.0.44', 'port': '8080', 'status': 'failed'}
2025-05-22T22:29:31.546969 - {'timestamp': '2025-05-21 06:05:00', 'username': 'lorena', 'ip_address': '192.168.0.45', 'port': '53', 'status': 'success'}
2025-05-22T22:29:31.546969 - {'timestamp': '2025-05-21 19:10:00', 'username': 'thiago', 'ip_address': '192.168.0.48', 'port': '3389', 'status': 'failed'}
2025-05-22T22:29:31.547971 - {'timestamp': '2025-05-21 03:30:00', 'username': 'livia', 'ip_address': '192.168.0.49', 'port': '80', 'status': 'success'}
2025-05-22T22:29:31.547971 - {'timestamp': '2025-05-21 22:10:00', 'username': 'elisa', 'ip_address': '192.168.0.51', 'port': '8080', 'status': 'success'}
2025-05-22T22:29:31.548971 - {'timestamp': '2025-05-21 07:30:00', 'username': 'matheus', 'ip_address': '192.168.0.52', 'port': '53', 'status': 'failed'}
2025-05-22T22:29:31.548971 - {'timestamp': '2025-05-21 00:15:00', 'username': 'vinicius', 'ip_address': '192.168.0.54', 'port': '443', 'status': 'failed'}
2025-05-22T22:29:31.549969 - {'timestamp': '2025-05-21 18:35:00', 'username': 'mariana', 'ip_address': '192.168.0.57', 'port': '21', 'status': 'success'}
2025-05-22T22:29:31.549969 - {'timestamp': '2025-05-21 02:45:00', 'username': 'lorenzo', 'ip_address': '192.168.0.58', 'port': '8080', 'status': 'failed'}
2025-05-22T22:29:31.550969 - {'timestamp': '2025-05-21 21:30:00', 'username': 'bernardo', 'ip_address': '192.168.0.60', 'port': '22', 'status': 'failed'}
